existinghospitalname,existinghospitallatitude,existinghospitallongitude,existinghospitalfixedcost
wakemednorthhospital,35.908909,-78.597633,61.01666667
wakemed ,35.78619,-78.589302,61.01666667
uncwakebrookhospital,35.770748,-78.583366,61.01666667
dukehospitalraleigh,35.828621,-78.618332,61.01666667
wakemedcaryhospital,35.740189,-78.779984,61.01666667
uncrexhospital,35.64287,-78.8372,61.01666667
unchospitalschildrensspecialty,35.81892,-78.70565,61.01666667
wakemedbriercreekhealthplex,35.9185,-78.78319,61.01666667
