existinghospitalname,existinghospitallatitude,existinghospitallongitude,existinghospitalfixedcost,existinghospitalcapacity,potentialhospitalname,potentialhospitallatitude,potentialhospitallongitude,potentialhospitalcost,potentialhospitalcapacity,crashnumber,crashdateandtime,crashlatitude,crashlongitude,demand,pricepermile
,,,,,,,,,,59,10/26/2019 12:29:00 PM,35.9653844505922,-78.4192114830017,,
,,,,,,,,,,60,10/26/2019 12:06:00 PM,35.7601266462928,-78.7491024638585,,
,,,,,,,,,,61,10/26/2019 11:30:00 AM,35.8152452074636,-78.6910566354947,,
,,,,,,,,,,62,10/26/2019 8:27:00 AM,35.8029749526551,-78.6907048237257,,
,,,,,,,,,,63,10/26/2019 6:56:00 AM,35.8293160907053,-78.7591190607,,
,,,,,,,,,,64,10/26/2019 5:41:00 AM,35.6515029790898,-78.6147149958064,,
,,,,,,,,,,65,10/25/2019 10:32:00 PM,35.8183751229376,-78.608040889969,,
,,,,,,,,,,66,10/25/2019 7:53:00 PM,35.7482214864384,-78.5935192178003,,
,,,,,,,,,,67,10/25/2019 7:28:00 PM,35.8978854237158,-78.8665814473934,,
,,,,,,,,,,68,10/25/2019 6:55:00 PM,35.7573747757056,-78.7543086233083,,
,,,,,,,,,,69,10/25/2019 6:01:00 PM,35.8335381493365,-78.7679405286617,,
,,,,,,,,,,70,10/25/2019 4:34:00 PM,35.8335543282756,-78.7679424360103,,
,,,,,,,,,,71,10/25/2019 2:51:00 PM,35.7966120599558,-78.7429785802669,,
,,,,,,,,,,72,10/25/2019 12:57:00 PM,35.8183912961005,-78.6890879257346,,
,,,,,,,,,,73,10/25/2019 10:01:00 AM,35.7587306550129,-78.750970844907,,
,,,,,,,,,,74,10/25/2019 9:35:00 AM,35.8519846254748,-78.523666863126,,
,,,,,,,,,,75,10/25/2019 6:53:00 AM,35.6883595741736,-78.8465834628246,,
,,,,,,,,,,76,10/24/2019 7:17:00 PM,35.7610231389853,-78.875614705889,,
,,,,,,,,,,77,10/24/2019 6:37:00 PM,35.690544974241,-78.5582587718964,,
,,,,,,,,,,78,10/24/2019 5:57:00 PM,35.8406091244251,-78.8868328912184,,
,,,,,,,,,,79,10/24/2019 5:33:00 PM,35.8074929096711,-78.8924138648435,,
,,,,,,,,,,80,10/24/2019 10:59:00 AM,35.6919515520634,-78.8670823574066,,
,,,,,,,,,,81,10/24/2019 8:43:00 AM,35.7538764786749,-78.7614068118848,,
,,,,,,,,,,82,10/24/2019 8:43:00 AM,35.7538764786749,-78.7614068118848,,
,,,,,,,,,,83,10/24/2019 7:43:00 AM,35.8289823007772,-78.3591687306389,,
,,,,,,,,,,84,10/24/2019 7:04:00 AM,35.7880671542583,-78.5156329673715,,
,,,,,,,,,,85,10/24/2019 6:10:00 AM,35.7583619808883,-78.5762306498946,,
,,,,,,,,,,86,10/23/2019 11:09:00 PM,35.7979766714328,-78.7424169839042,,
,,,,,,,,,,87,10/23/2019 4:42:00 PM,35.8210883552731,-78.744990341831,,
,,,,,,,,,,88,10/23/2019 4:37:00 PM,35.7643890459068,-78.7399821211584,,
,,,,,,,,,,89,10/23/2019 3:24:00 PM,35.8297348557373,-78.7596826483496,,
,,,,,,,,,,90,10/23/2019 10:03:00 AM,35.8273525828043,-78.7552895447275,,
,,,,,,,,,,91,10/23/2019 8:53:00 AM,35.8167888581872,-78.8223742128081,,
,,,,,,,,,,92,10/23/2019 8:50:00 AM,35.8362161213147,-78.7732054167022,,
,,,,,,,,,,93,10/23/2019 8:12:00 AM,35.8407352806974,-78.7827578109689,,
,,,,,,,,,,94,10/23/2019 7:48:00 AM,35.8154004239467,-78.8920830052802,,
,,,,,,,,,,95,10/23/2019 6:44:00 AM,35.7798759403032,-78.5666532558389,,
,,,,,,,,,,96,10/22/2019 8:17:00 PM,35.8361413847663,-78.6671918327221,,
,,,,,,,,,,97,10/22/2019 7:37:00 PM,35.7286859375329,-78.5862536356144,,
,,,,,,,,,,98,10/22/2019 5:48:00 PM,35.6772805881379,-78.5643196072581,,
,,,,,,,,,,99,10/22/2019 5:33:00 PM,35.8425744137334,-78.8840510845184,,
,,,,,,,,,,100,10/22/2019 5:28:00 PM,35.755412005374,-78.6001557275944,,
,,,,,,,,,,101,10/22/2019 2:12:00 PM,35.83644849525,-78.6713396622382,,
,,,,,,,,,,102,10/22/2019 10:26:00 AM,35.7135670343641,-78.8409819685764,,
,,,,,,,,,,103,10/22/2019 8:34:00 AM,35.7529567016997,-78.6468805847168,,
,,,,,,,,,,104,10/22/2019 8:31:00 AM,35.8136388069079,-78.6080107269287,,
,,,,,,,,,,105,10/22/2019 8:06:00 AM,35.8036743856589,-78.7000730687224,,
,,,,,,,,,,106,10/22/2019 7:13:00 AM,35.6498664205399,-78.5647517302123,,
,,,,,,,,,,107,10/22/2019 6:56:00 AM,35.7556022129971,-78.7580399214477,,
,,,,,,,,,,108,10/22/2019 6:51:00 AM,35.8135533693728,-78.691992193222,,
,,,,,,,,,,109,10/21/2019 7:06:00 PM,35.730966266099,-78.587321013445,,
,,,,,,,,,,110,10/21/2019 6:12:00 PM,35.7953091030051,-78.5359299182892,,
,,,,,,,,,,111,10/21/2019 5:44:00 PM,35.8309984794899,-78.6291456152685,,
,,,,,,,,,,112,10/21/2019 5:26:00 PM,35.777221477934,-78.50941157341,,
,,,,,,,,,,113,10/21/2019 4:27:00 PM,35.6688541376425,-78.5635948910058,,
,,,,,,,,,,114,10/21/2019 11:46:00 AM,35.7576419124082,-78.612959558009,,
